scenario_id,grid_id,material_name,area_m2,ground_or_facade
baseline,0,tall_grass,20.67,ground
baseline,1,tall_grass,1194.73,ground
baseline,2,tall_grass,94.44,ground
baseline,3,tall_grass,68.02,ground
baseline,4,short_grass,34.83,ground
baseline,5,short_grass,25.61,ground
baseline,6,short_grass,123.67,ground
baseline,7,short_grass,780.15,ground
baseline,8,short_grass,22.99,ground
baseline,9,short_grass,23.0,ground
baseline,10,short_grass,21.91,ground
baseline,11,short_grass,480.25,ground
baseline,12,short_grass,369.15,ground
baseline,13,short_grass,146.61,ground
baseline,14,short_grass,801.85,ground
baseline,15,short_grass,44.29,ground
baseline,16,short_grass,135.53,ground
baseline,17,short_grass,252.91,ground
baseline,18,short_grass,128.6,ground
baseline,19,short_grass,48.49,ground
baseline,20,short_grass,207.74,ground
baseline,21,short_grass,401.36,ground
baseline,22,short_grass,204.27,ground
baseline,23,short_grass,56.74,ground
baseline,24,short_grass,539.85,ground
baseline,25,short_grass,47.63,ground
baseline,26,short_grass,276.33,ground
baseline,27,short_grass,2313.56,ground
baseline,28,short_grass,1052.91,ground
baseline,29,short_grass,1517.29,ground
baseline,30,short_grass,202.24,ground
baseline,31,short_grass,639.65,ground
baseline,32,short_grass,273.03,ground
baseline,33,short_grass,241.91,ground
baseline,34,short_grass,951.09,ground
baseline,35,short_grass,156.97,ground
baseline,36,short_grass,279.87,ground
baseline,37,short_grass,126.51,ground
baseline,38,short_grass,573.95,ground
baseline,39,short_grass,174.09,ground
baseline,40,short_grass,1116.35,ground
baseline,41,short_grass,660.78,ground
baseline,42,short_grass,111.34,ground
baseline,43,short_grass,2.35,ground
baseline,44,short_grass,286.06,ground
baseline,45,short_grass,111.52,ground
baseline,46,grey_concrete,235.15,ground
baseline,47,grey_concrete,2.94,ground
baseline,48,grey_concrete,3.25,ground
baseline,49,grey_concrete,101.33,ground
baseline,50,grey_concrete,4.68,ground
baseline,51,grey_concrete,262.59,ground
baseline,52,grey_asphalt,655.45,ground
baseline,53,grey_asphalt,1744.43,ground
baseline,54,grey_asphalt,782.54,ground
baseline,55,grey_asphalt,2.31,ground
baseline,56,grey_asphalt,1109.43,ground
baseline,57,grey_asphalt,1158.75,ground
baseline,58,grey_asphalt,166.36,ground
baseline,59,grey_concrete,832.17,ground
baseline,60,grey_concrete,874.82,ground
baseline,61,grey_concrete,44.34,ground
baseline,62,grey_asphalt,5793.75,ground
baseline,63,tall_grass,131.24,ground
baseline,64,grey_concrete,5342.55,ground
baseline,65,short_grass,2279.45,ground
baseline,66,short_grass,1769.03,ground
baseline,67,short_grass,132.89,ground
baseline,68,grey_concrete,223.13,ground
baseline,69,grey_concrete,316.64,ground
baseline,70,tan_small_stone_aggregate,112.77,ground
baseline,71,grey_asphalt,946.53,ground
baseline,0,grey_asphalt,388.29,facade
baseline,1,black_brick,329.99,facade
baseline,2,black_brick,320.26,facade
baseline,3,black_brick,217.38,facade
baseline,4,black_brick,8.14,facade
baseline,5,black_brick,119.93,facade
baseline,6,black_brick,215.15,facade
baseline,7,black_brick,7.49,facade
baseline,8,black_brick,112.91,facade
baseline,9,grey_limestone,20.65,facade
baseline,10,grey_limestone,20.65,facade
baseline,11,grey_limestone,20.83,facade
baseline,12,grey_limestone,21.09,facade
baseline,13,grey_limestone,21.05,facade
baseline,14,grey_limestone,21.0,facade
baseline,15,grey_limestone,20.81,facade
baseline,16,grey_limestone,20.63,facade
baseline,17,grey_limestone,13.26,facade
baseline,18,grey_limestone,11.44,facade
baseline,19,grey_limestone,14.16,facade
baseline,20,grey_limestone,7.96,facade
baseline,21,grey_limestone,212.84,facade
baseline,22,grey_limestone,201.92,facade
baseline,23,grey_limestone,276.03,facade
baseline,24,grey_limestone,18.46,facade
baseline,25,grey_limestone,106.99,facade
baseline,26,grey_limestone,21.0,facade
baseline,27,grey_limestone,21.53,facade
baseline,28,grey_limestone,19.53,facade
baseline,29,grey_limestone,117.76,facade
baseline,30,grey_limestone,120.81,facade
baseline,31,grey_limestone,78.53,facade
baseline,32,grey_limestone,102.13,facade
baseline,33,grey_limestone,91.68,facade
baseline,34,grey_limestone,82.54,facade
baseline,35,grey_limestone,138.21,facade
baseline,36,grey_limestone,55.43,facade
baseline,37,grey_limestone,24.13,facade
baseline,38,grey_limestone,33.08,facade
baseline,39,grey_limestone,20.6,facade
baseline,40,grey_limestone,20.73,facade
baseline,41,grey_limestone,20.77,facade
baseline,42,grey_limestone,20.97,facade
baseline,43,grey_limestone,20.91,facade
baseline,44,grey_limestone,21.07,facade
baseline,45,grey_limestone,20.87,facade
baseline,46,grey_limestone,20.6,facade
baseline,47,grey_asphalt,796.14,facade
baseline,48,grey_asphalt,3953.21,facade
baseline,49,grey_limestone,434.69,facade
baseline,50,grey_limestone,984.49,facade
baseline,51,grey_limestone,405.54,facade
baseline,52,grey_limestone,485.3,facade
baseline,53,grey_limestone,220.77,facade
baseline,54,grey_limestone,179.33,facade
baseline,55,grey_limestone,411.82,facade
baseline,56,grey_limestone,456.28,facade
baseline,57,grey_limestone,534.03,facade
baseline,58,grey_limestone,458.3,facade
baseline,59,grey_limestone,25.63,facade
baseline,60,grey_limestone,170.76,facade
baseline,61,grey_limestone,170.92,facade
baseline,62,grey_limestone,517.71,facade
baseline,63,grey_limestone,5.18,facade
baseline,64,grey_limestone,838.87,facade
baseline,65,grey_limestone,1484.04,facade
baseline,66,grey_asphalt,1066.16,facade
baseline,67,grey_limestone,215.9,facade
baseline,68,grey_limestone,27.21,facade
baseline,69,grey_limestone,26.14,facade
baseline,70,grey_limestone,143.8,facade
baseline,71,grey_limestone,283.52,facade
baseline,72,grey_limestone,5.73,facade
baseline,73,grey_limestone,116.83,facade
baseline,74,grey_limestone,38.69,facade
baseline,75,grey_limestone,216.37,facade
baseline,76,grey_limestone,285.71,facade
baseline,77,grey_limestone,184.32,facade
baseline,78,grey_limestone,73.45,facade
baseline,79,grey_limestone,44.06,facade
baseline,80,grey_limestone,126.92,facade
baseline,81,grey_limestone,74.4,facade
baseline,82,grey_limestone,114.19,facade
baseline,83,grey_limestone,635.04,facade
baseline,84,grey_limestone,114.69,facade
baseline,85,grey_limestone,71.89,facade
baseline,86,grey_limestone,174.21,facade
baseline,87,grey_limestone,74.25,facade
baseline,88,grey_limestone,182.03,facade
baseline,89,grey_limestone,1050.18,facade
baseline,90,grey_limestone,1084.77,facade
baseline,91,grey_concrete,64.14,facade
baseline,92,glass,325.61,facade
baseline,93,glass,226.57,facade
baseline,94,glass,325.5,facade
baseline,95,glass,226.63,facade
baseline,96,grey_concrete,2036.21,facade
baseline,97,grey_precast_concrete,625.71,facade
baseline,98,grey_precast_concrete,623.9,facade
baseline,99,grey_concrete,20.34,facade
baseline,100,grey_concrete,46.89,facade
baseline,101,grey_limestone,975.65,facade
baseline,102,grey_concrete,79.93,facade
baseline,103,grey_concrete,19.89,facade
baseline,104,grey_limestone,118.54,facade
baseline,105,grey_limestone,29.89,facade
baseline,106,grey_limestone,152.46,facade
baseline,107,grey_limestone,394.2,facade
baseline,108,jar_building_stairs,151.95,facade
baseline,109,jar_building_stairs,131.51,facade
baseline,110,grey_precast_concrete,1106.3,facade
baseline,111,grey_precast_concrete,1113.48,facade
baseline,112,grey_concrete,2.64,facade
baseline,113,grey_concrete,4.49,facade
baseline,114,grey_concrete,4.16,facade
baseline,115,grey_concrete,2.69,facade
baseline,116,grey_concrete,9.51,facade
baseline,117,grey_concrete,4.57,facade
baseline,118,grey_concrete,8.97,facade
baseline,119,grey_concrete,15.04,facade
baseline,120,grey_concrete,8.98,facade
baseline,121,grey_concrete,5.26,facade
baseline,122,grey_concrete,9.2,facade
baseline,123,grey_concrete,16.74,facade
baseline,124,grey_concrete,16.75,facade
baseline,125,grey_concrete,1.99,facade
baseline,126,grey_concrete,1.16,facade
baseline,127,grey_concrete,3.64,facade
baseline,128,grey_concrete,1.16,facade
baseline,129,grey_concrete,2.15,facade
baseline,130,grey_concrete,3.05,facade
baseline,131,grey_concrete,1.51,facade
baseline,132,grey_concrete,0.62,facade
baseline,133,grey_concrete,0.74,facade
baseline,134,grey_concrete,1.56,facade
baseline,135,grey_concrete,2.94,facade
baseline,136,grey_concrete,0.18,facade
baseline,137,grey_concrete,1.19,facade
baseline,138,grey_concrete,1.59,facade
baseline,139,grey_concrete,1.19,facade
baseline,140,grey_concrete,0.16,facade
baseline,141,grey_concrete,2.83,facade
baseline,142,grey_concrete,0.16,facade
